Tag,Monat,Jahr,Menge,Artikelnr.,Artikelname
25,1,2020,27.0,2801,10 Kapseln Espresso Classico
25,1,2020,723.0,2802,10 Kapseln Espresso Elite
25,1,2020,6.0,328,Sirocco Espresso Pods à 80 Pods
25,1,2020,29.0,332,Sirocco Crema Dose gemahlen
25,1,2020,21.0,355,Guatemala Bohnen
25,1,2020,306.0,377,100 Teebeutel "Golden Assam"
25,1,2020,885.0,380,100 Teebeutel "Purple Breeze"
25,1,2020,2081.0,381,100 Teebeutel "Ceylon Sunrise"
25,1,2020,1864.0,383,100 Teebeutel "Japanese Sencha"
25,1,2020,745.0,386,100 Teebeutel "Rooibos Tangerine"
25,1,2020,2380.0,388,100 Teebeutel "Moroccan Mint"
25,1,2020,242.0,389,100 Teebeutel "Piz Palü"
25,1,2020,1180.0,390,100 Teebeutel "Verbena"
25,1,2020,295.0,391,100 Teebeutel "Red Kiss"
25,1,2020,436.0,392,100 Teebeutel "Black Chai"
25,1,2020,332.0,394,100 Teebeutel "Imperial Gold"
25,1,2020,396.0,396,100 Teebeutel "Jade Oolong"
25,1,2020,537.0,3971,100 Teebeutel "Green Jasmine"
25,1,2020,2398.0,400,20 Teebeutel "Purple Breeze"
25,1,2020,1354.0,404,20 Teebeutel "Yellow Wish"
25,1,2020,5813.0,412,20 Teebeutel "Black Chai"
25,1,2020,1079.0,414,20 Teebeutel "Imperial Gold"
25,1,2020,791.0,417,20 Teebeutel "Jasmine Dragon Pearls"
25,1,2020,1385.0,418,20 Teebeutel "Green Tropic"
25,1,2020,721.0,419,20 Teebeutel "Almond Oolong"
25,1,2020,2121.0,420,20 Teebeutel "Golden Assam"
25,1,2020,174.0,421,20 Teebeutel "Ceylon Decaf"
25,1,2020,26.0,4271,100 Teebeutel "Winter Moments"
25,1,2020,28.0,4272,100 Teebeutel "White Christmas"
25,1,2020,645.0,432,8 Teebeutel "New World Selection"
25,1,2020,67.0,4351,Ultimate Selection
25,1,2020,115.0,44011,Wellness Tea  100er „Pure Power“
25,1,2020,1311.0,4402,Wellness Tea 20er „Balance“
25,1,2020,101.0,44021,Wellness Tea 100er „Balance“
25,1,2020,5238.0,4403,Wellness Tea 20er „Relax"
25,1,2020,62.0,44031,Wellness Tea 100er „Relax"
25,1,2020,39.0,454,Offentee "Yellow Wish"
25,1,2020,20.0,456,Offentee "Rooibos Tangerine"
25,1,2020,27.0,460,Offentee "Verbena"
25,1,2020,46.0,464,Offentee "Imperial Gold"
25,1,2020,35.0,466,Offentee "Jade Oolong"
25,1,2020,22.0,469,Offentee "Almond Oolong"
25,1,2020,12.0,470,Offentee "Assam"
25,1,2020,17.0,472,Offentee "Black Vanilla"
25,1,2020,12.0,474,Offentee „Wellness Tea Pure Power“
25,1,2020,13.0,475,Offentee "Wellness Tea Balance“
25,1,2020,14.0,476,Offentee “Wellness Tea Relax"
25,1,2020,9.0,477,Offentee "Piña Moringa"
25,1,2020,20.0,480,Offentee Hibiscus Blüten
25,1,2020,154.0,500,Teedose "Purple Breeze"
25,1,2020,295.0,501,Teedose "Ceylon Sunrise"
25,1,2020,255.0,502,Teedose "Gentle Blue"
25,1,2020,646.0,506,Teedose "Rooibos Tangerine"
25,1,2020,1637.0,508,Teedose "Moroccan Mint"
25,1,2020,843.0,511,Teedose "Red Kiss"
25,1,2020,534.0,512,Teedose "Black Chai"
25,1,2020,598.0,513,Teedose "Ginger Lemon Dream"
25,1,2020,10.0,530,Carré au chocolat noir, Sirocco
25,1,2020,18.0,620,Filter Bravilor Pico, 1,8 Liter
25,1,2020,7.0,625,Filterpapier, 5 l (500 Stk.)
25,1,2020,9.0,626,Filterpapier, 10 l (500 Stk.)
25,1,2020,2.0,627,Filterpapier, 20 l (500 Stk.)
25,1,2020,6.0,628,Filterpapier, 30 l (500 Stk.)
25,1,2020,147.0,630,Kaffeemaschine"Sirocco Platinum"
